2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268426136, 'eTimeStamp': 1268427420}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268171673, 'eTimeStamp': 1268172972}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268444265, 'eTimeStamp': 1268447416}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268191854, 'eTimeStamp': 1268194112}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268463895, 'eTimeStamp': 1268465490}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268209633, 'eTimeStamp': 1268212902}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268489350, 'eTimeStamp': 1268492450}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268236922, 'eTimeStamp': 1268239728}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268515467, 'eTimeStamp': 1268518622}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268262963, 'eTimeStamp': 1268265240}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268539497, 'eTimeStamp': 1268540855}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268284870, 'eTimeStamp': 1268286186}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268560978, 'eTimeStamp': 1268563231}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268307296, 'eTimeStamp': 1268309820}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268586448, 'eTimeStamp': 1268589584}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268333634, 'eTimeStamp': 1268335411}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268613899, 'eTimeStamp': 1268619128}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268363378, 'eTimeStamp': 1268365398}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268636472, 'eTimeStamp': 1268644319}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268388396, 'eTimeStamp': 1268391034}]
2001000100030000000000000000000220010001000a000000000000000000fb,[{'inPortID': 2, 'ePortID': 3, 'inTimeStamp': 1268659436, 'eTimeStamp': 1268663418}, {'inPortID': 3, 'ePortID': 2, 'inTimeStamp': 1268408484, 'eTimeStamp': 1268410523}]
